Position,Cost,Asset
350.0000,17828.2000,18546.5000
350.0000,17828.2000,18340.0000
350.0000,17828.2000,18651.5000
350.0000,17828.2000,18616.5000
360.0000,18359.2000,19116.0000
360.0000,18359.2000,18493.2000
360.0000,18359.2000,18658.8000
360.0000,18359.2000,18770.4000
360.0000,18359.2000,18918.0000
370.0000,18884.1000,19421.3000
370.0000,18884.1000,19717.3000
370.0000,18884.1000,19417.6000
370.0000,18884.1000,19291.8000
370.0000,18884.1000,19258.5000
380.0000,19408.4000,19923.4000
380.0000,19408.4000,19794.2000
380.0000,19408.4000,19931.0000
380.0000,19408.4000,19691.6000
380.0000,19408.4000,19285.0000
390.0000,19905.1000,19371.3000
390.0000,19905.1000,19211.4000
390.0000,19905.1000,19180.2000
390.0000,19905.1000,18805.8000
400.0000,20397.4000,19692.0000
400.0000,20397.4000,19880.0000
400.0000,20397.4000,20308.0000
400.0000,20397.4000,20496.0000
400.0000,20397.4000,20844.0000
410.0000,20919.7000,21414.3000
410.0000,20919.7000,21348.7000
410.0000,20919.7000,21209.3000
410.0000,20919.7000,21131.4000
410.0000,20919.7000,20963.3000
420.0000,21432.5000,21537.6000
420.0000,21432.5000,21663.6000
420.0000,21432.5000,21205.8000
420.0000,21432.5000,21130.2000
420.0000,21432.5000,21008.4000
430.0000,21934.5000,21586.0000
430.0000,21934.5000,21637.6000
430.0000,21934.5000,21792.4000
430.0000,21934.5000,21654.8000
430.0000,21934.5000,21835.4000
430.0000,21934.5000,21964.4000
430.0000,21934.5000,22037.5000
430.0000,21934.5000,21844.0000
430.0000,21934.5000,21917.1000
430.0000,21934.5000,22325.6000
430.0000,21934.5000,22286.9000
430.0000,21934.5000,22368.6000
430.0000,21934.5000,22605.1000
440.0000,22463.3000,23267.2000
440.0000,22463.3000,23372.8000
440.0000,22463.3000,23293.6000
440.0000,22463.3000,23399.2000
440.0000,22463.3000,23315.6000
440.0000,22463.3000,23557.6000
440.0000,22463.3000,23610.4000
440.0000,22463.3000,23988.8000
440.0000,22463.3000,23922.8000
450.0000,23008.7000,24543.0000
450.0000,23008.7000,24435.0000
450.0000,23008.7000,24741.0000
450.0000,23008.7000,24916.5000
450.0000,23008.7000,24669.0000
460.0000,23555.1000,25134.4000
460.0000,23555.1000,25493.2000
460.0000,23555.1000,25548.4000
460.0000,23555.1000,25691.0000
460.0000,23555.1000,25925.6000
470.0000,24119.1000,26508.0000
470.0000,24119.1000,26564.4000
470.0000,24119.1000,26644.3000
470.0000,24119.1000,26884.0000
470.0000,24119.1000,26780.6000
480.0000,24693.3000,27561.6000
480.0000,24693.3000,27547.2000
480.0000,24693.3000,27811.2000
480.0000,24693.3000,27494.4000
480.0000,24693.3000,27868.8000
480.0000,24693.3000,27806.4000
480.0000,24693.3000,27801.6000
480.0000,24693.3000,27763.2000
480.0000,24693.3000,27993.6000
490.0000,25273.6000,28434.7000
490.0000,25273.6000,28660.1000
490.0000,25273.6000,28944.3000
490.0000,25273.6000,28900.2000
490.0000,25273.6000,28983.5000
500.0000,25865.1000,29575.0000
500.0000,25865.1000,29000.0000
500.0000,25865.1000,29135.0000
500.0000,25865.1000,29395.0000
500.0000,25865.1000,29585.0000
510.0000,26458.1000,30243.0000
510.0000,26458.1000,30431.7000
510.0000,26458.1000,30860.1000
510.0000,26458.1000,31028.4000
510.0000,26458.1000,31074.3000
520.0000,27067.0000,31662.8000
520.0000,27067.0000,31668.0000
520.0000,27067.0000,31896.8000
520.0000,27067.0000,31704.4000
520.0000,27067.0000,31865.6000
530.0000,27682.9000,32642.7000
530.0000,27682.9000,33013.7000
530.0000,27682.9000,33056.1000
530.0000,27682.9000,32743.4000
530.0000,27682.9000,32923.6000
540.0000,28299.6000,33301.8000
540.0000,28299.6000,33712.2000
540.0000,28299.6000,33420.6000
540.0000,28299.6000,33150.6000
550.0000,28910.8000,33616.0000
550.0000,28910.8000,33764.5000
550.0000,28910.8000,33528.0000
550.0000,28910.8000,33467.5000
550.0000,28910.8000,33665.5000
560.0000,29518.7000,34042.4000
560.0000,29518.7000,33639.2000
560.0000,29518.7000,34076.0000
560.0000,29518.7000,33964.0000
560.0000,29518.7000,33891.2000
570.0000,30113.3000,33892.2000
570.0000,30113.3000,33840.9000
570.0000,30113.3000,34416.6000
570.0000,30113.3000,34610.4000
570.0000,30113.3000,34963.8000
580.0000,30726.0000,35536.6000
580.0000,30726.0000,35351.0000
580.0000,30726.0000,35269.8000
580.0000,30726.0000,35565.6000
580.0000,30726.0000,34846.4000
590.0000,31313.7000,34674.3000
590.0000,31313.7000,34697.9000
590.0000,31313.7000,34385.2000
590.0000,31313.7000,34839.5000
590.0000,31313.7000,34491.4000
600.0000,31895.2000,34890.0000
600.0000,31895.2000,34956.0000
600.0000,31895.2000,34866.0000
600.0000,31895.2000,34524.0000
600.0000,31895.2000,33888.0000
610.0000,32452.0000,33964.8000
610.0000,32452.0000,34946.9000
610.0000,32452.0000,34513.8000
610.0000,32452.0000,34922.5000
610.0000,32452.0000,34678.5000
610.0000,32452.0000,34922.5000
610.0000,32452.0000,34721.2000
610.0000,32452.0000,34702.9000
610.0000,32452.0000,33970.9000
620.0000,33005.6000,34323.2000
620.0000,33005.6000,34372.8000
620.0000,33005.6000,34893.6000
620.0000,33005.6000,35798.8000
620.0000,33005.6000,35228.4000
630.0000,33584.5000,36470.7000
630.0000,33584.5000,35752.5000
630.0000,33584.5000,35916.3000
630.0000,33584.5000,35765.1000
630.0000,33584.5000,36004.5000
640.0000,34159.1000,36774.4000
640.0000,34159.1000,37459.2000
640.0000,34159.1000,37740.8000
640.0000,34159.1000,37657.6000
640.0000,34159.1000,36870.4000
650.0000,34734.6000,37407.5000
650.0000,34734.6000,37115.0000
650.0000,34734.6000,37368.5000
650.0000,34734.6000,37167.0000
650.0000,34734.6000,37745.5000
660.0000,35323.1000,38841.0000
660.0000,35323.1000,38926.8000
660.0000,35323.1000,39190.8000
660.0000,35323.1000,39072.0000
670.0000,35909.8000,39308.9000
670.0000,35909.8000,39489.8000
670.0000,35909.8000,38839.9000
670.0000,35909.8000,38370.9000
670.0000,35909.8000,38417.8000
680.0000,36489.1000,39392.4000
680.0000,36489.1000,39616.8000
680.0000,36489.1000,39494.4000
680.0000,36489.1000,40385.2000
680.0000,36489.1000,40534.8000
690.0000,37066.1000,39813.0000
690.0000,37066.1000,40178.7000
690.0000,37066.1000,39481.8000
690.0000,37066.1000,40095.9000
690.0000,37066.1000,40344.3000
700.0000,37661.8000,41699.0000
700.0000,37661.8000,41622.0000
700.0000,37661.8000,41846.0000
700.0000,37661.8000,41111.0000
700.0000,37661.8000,41944.0000
710.0000,38265.8000,42884.0000
710.0000,38265.8000,43168.0000
710.0000,38265.8000,43231.9000
710.0000,38265.8000,43317.1000
710.0000,38265.8000,43302.9000
720.0000,38878.0000,44078.4000
720.0000,38878.0000,44366.4000
720.0000,38878.0000,44186.4000
720.0000,38878.0000,44496.0000
720.0000,38878.0000,44956.8000
730.0000,39503.3000,45646.9000
730.0000,39503.3000,45873.2000
730.0000,39503.3000,45471.7000
730.0000,39503.3000,45552.0000
730.0000,39503.3000,45274.6000
740.0000,40131.5000,46486.8000
740.0000,40131.5000,46324.0000
740.0000,40131.5000,46361.0000
740.0000,40131.5000,46161.2000
740.0000,40131.5000,46227.8000
740.0000,40131.5000,46109.4000
740.0000,40131.5000,46131.6000
740.0000,40131.5000,46390.6000
740.0000,40131.5000,47019.6000
750.0000,40765.8000,47572.5000
750.0000,40765.8000,47092.5000
750.0000,40765.8000,47182.5000
750.0000,40765.8000,47190.0000
750.0000,40765.8000,47955.0000
760.0000,41409.0000,48883.2000
760.0000,41409.0000,48754.0000
760.0000,41409.0000,48913.6000
760.0000,41409.0000,48769.2000
760.0000,41409.0000,49202.4000
770.0000,42048.1000,49210.7000
770.0000,42048.1000,49457.1000
770.0000,42048.1000,48571.6000
770.0000,42048.1000,48356.0000
770.0000,42048.1000,48741.0000
780.0000,42681.0000,49366.2000
780.0000,42681.0000,49272.6000
780.0000,42681.0000,49335.0000
780.0000,42681.0000,49592.4000
780.0000,42681.0000,49943.4000
790.0000,43311.0000,49770.0000
790.0000,43311.0000,49469.8000
790.0000,43311.0000,48798.3000
790.0000,43311.0000,48924.7000
790.0000,43311.0000,48403.3000
800.0000,43925.8000,49184.0000
800.0000,43925.8000,49432.0000
800.0000,43925.8000,49800.0000
800.0000,43925.8000,49872.0000
800.0000,43925.8000,49392.0000
810.0000,44528.8000,48843.0000
810.0000,44528.8000,48721.5000
810.0000,44528.8000,48932.1000
810.0000,44528.8000,48818.7000
810.0000,44528.8000,48478.5000
810.0000,44528.8000,48567.6000
810.0000,44528.8000,48632.4000
810.0000,44528.8000,49231.8000
820.0000,45127.5000,49093.4000
820.0000,45127.5000,49495.2000
820.0000,45127.5000,48978.6000
820.0000,45127.5000,48470.2000
820.0000,45127.5000,47601.0000
830.0000,45713.6000,48646.3000
830.0000,45713.6000,47982.3000
830.0000,45713.6000,48256.2000
830.0000,45713.6000,47484.3000
830.0000,45713.6000,47334.9000
840.0000,46292.1000,48594.0000
840.0000,46292.1000,49198.8000
840.0000,46292.1000,49282.8000
840.0000,46292.1000,49610.4000
850.0000,46886.8000,50549.5000
850.0000,46886.8000,50881.0000
850.0000,46886.8000,50481.5000
850.0000,46886.8000,51433.5000
850.0000,46886.8000,51467.5000
860.0000,47495.9000,52382.6000
860.0000,47495.9000,51901.0000
860.0000,47495.9000,51763.4000
860.0000,47495.9000,51109.8000
860.0000,47495.9000,51858.0000
870.0000,48090.7000,51747.6000
870.0000,48090.7000,52400.1000
870.0000,48090.7000,53000.4000
870.0000,48090.7000,52504.5000
870.0000,48090.7000,51843.3000
880.0000,48685.5000,52342.4000
880.0000,48685.5000,53257.6000
880.0000,48685.5000,53952.8000
880.0000,48685.5000,53662.4000
880.0000,48685.5000,52738.4000
890.0000,49286.2000,53462.3000
890.0000,49286.2000,53533.5000
890.0000,49286.2000,53070.7000
890.0000,49286.2000,52536.7000
900.0000,49874.7000,52965.0000
900.0000,49874.7000,55476.0000
900.0000,49874.7000,55863.0000
900.0000,49874.7000,55602.0000
