Position,Cost,Asset
588.6409,30000.0000,30309.1193
588.6409,30000.0000,28872.8355
588.6409,30000.0000,28425.4684
608.8592,31000.0000,30114.1783
608.8592,31000.0000,30826.5436
608.8592,31000.0000,30759.5691
608.8592,31000.0000,30631.7086
608.8592,31000.0000,29413.9901
630.0098,32000.0000,29786.8651
630.0098,32000.0000,28986.7526
630.0098,32000.0000,29805.7654
630.0098,32000.0000,30612.1780
630.0098,32000.0000,31147.6864
650.0178,33000.0000,32487.8917
650.0178,33000.0000,32955.9045
650.0178,33000.0000,33592.9220
650.0178,33000.0000,33371.9159
650.0178,33000.0000,34158.4375
669.0184,34000.0000,35210.4389
669.0184,34000.0000,34775.5770
669.0184,34000.0000,35063.2549
669.0184,34000.0000,34574.8715
669.0184,34000.0000,34775.5770
688.1498,35000.0000,35969.5923
688.1498,35000.0000,36465.0602
688.1498,35000.0000,36059.0518
688.1498,35000.0000,36671.5052
688.1498,35000.0000,36602.6902
706.9822,36000.0000,37540.7567
706.9822,36000.0000,36317.6774
706.9822,36000.0000,36642.8892
706.9822,36000.0000,36862.0537
706.9822,36000.0000,37151.9165
726.0335,37000.0000,38109.4975
726.0335,37000.0000,38690.3243
726.0335,37000.0000,38102.2372
726.0335,37000.0000,37855.3858
726.0335,37000.0000,37790.0428
745.1065,38000.0000,39065.9355
745.1065,38000.0000,38812.5993
745.1065,38000.0000,39080.8376
745.1065,38000.0000,38611.4205
745.1065,38000.0000,37814.1565
765.2394,39000.0000,38009.4415
765.2394,39000.0000,37695.6933
765.2394,39000.0000,37634.4742
765.2394,39000.0000,36899.8443
785.5522,40000.0000,38672.7361
785.5522,40000.0000,39041.9457
785.5522,40000.0000,39882.4866
785.5522,40000.0000,40251.6961
785.5522,40000.0000,40935.1266
804.6983,41000.0000,42029.3928
804.6983,41000.0000,41900.6411
804.6983,41000.0000,41627.0437
804.6983,41000.0000,41474.1510
804.6983,41000.0000,41144.2247
824.1991,42000.0000,42264.9294
824.1991,42000.0000,42512.1892
824.1991,42000.0000,41613.8121
824.1991,42000.0000,41465.4563
824.1991,42000.0000,41226.4386
844.1194,43000.0000,42374.7944
844.1194,43000.0000,42476.0887
844.1194,43000.0000,42779.9717
844.1194,43000.0000,42509.8535
844.1194,43000.0000,42864.3837
844.1194,43000.0000,43117.6195
844.1194,43000.0000,43261.1198
844.1194,43000.0000,42881.2661
844.1194,43000.0000,43024.7664
844.1194,43000.0000,43826.6798
844.1194,43000.0000,43750.7090
844.1194,43000.0000,43911.0917
844.1194,43000.0000,44375.3574
863.0302,44000.0000,45637.0344
863.0302,44000.0000,45844.1617
863.0302,44000.0000,45688.8162
863.0302,44000.0000,45895.9435
863.0302,44000.0000,45731.9677
863.0302,44000.0000,46206.6343
863.0302,44000.0000,46310.1979
863.0302,44000.0000,47052.4039
863.0302,44000.0000,46922.9494
881.3653,45000.0000,48069.6645
881.3653,45000.0000,47858.1368
881.3653,45000.0000,48457.4652
881.3653,45000.0000,48801.1977
881.3653,45000.0000,48316.4468
899.6669,46000.0000,49157.8010
899.6669,46000.0000,49859.5412
899.6669,46000.0000,49967.5012
899.6669,46000.0000,50246.3980
899.6669,46000.0000,50705.2281
