Position,Cost,Asset
674.6648,34306.8497,35750.4866
674.6648,34306.8497,35352.4344
674.6648,34306.8497,35952.8860
674.6648,34306.8497,35885.4196
693.4972,35306.8497,36824.6997
693.4972,35306.8497,35624.9496
693.4972,35306.8497,35943.9583
693.4972,35306.8497,36158.9424
693.4972,35306.8497,36443.2763
712.5484,36306.8497,37401.6665
712.5484,36306.8497,37971.7052
712.5484,36306.8497,37394.5410
712.5484,36306.8497,37152.2745
712.5484,36306.8497,37088.1452
731.6215,37306.8497,38358.9136
731.6215,37306.8497,38110.1623
731.6215,37306.8497,38373.5460
731.6215,37306.8497,37912.6245
731.6215,37306.8497,37129.7895
751.7543,38306.8497,37339.6383
751.7543,38306.8497,37031.4190
751.7543,38306.8497,36971.2787
751.7543,38306.8497,36249.5945
772.0672,39306.8497,38008.8664
772.0672,39306.8497,38371.7380
772.0672,39306.8497,39197.8498
772.0672,39306.8497,39560.7214
772.0672,39306.8497,40232.4198
791.2132,40306.8497,41325.0679
791.2132,40306.8497,41198.4738
791.2132,40306.8497,40929.4613
791.2132,40306.8497,40779.1307
791.2132,40306.8497,40454.7333
810.7140,41306.8497,41573.4153
810.7140,41306.8497,41816.6295
810.7140,41306.8497,40932.9512
810.7140,41306.8497,40787.0227
810.7140,41306.8497,40551.9156
830.6343,42306.8497,41697.8441
830.6343,42306.8497,41797.5203
830.6343,42306.8497,42096.5486
830.6343,42306.8497,41830.7456
830.6343,42306.8497,42179.6121
830.6343,42306.8497,42428.8024
830.6343,42306.8497,42570.0102
830.6343,42306.8497,42196.2247
830.6343,42306.8497,42337.4326
830.6343,42306.8497,43126.5352
830.6343,42306.8497,43051.7781
830.6343,42306.8497,43209.5987
830.6343,42306.8497,43666.4475
849.5451,43306.8497,44923.9442
849.5451,43306.8497,45127.8350
849.5451,43306.8497,44974.9169
849.5451,43306.8497,45178.8077
849.5451,43306.8497,45017.3941
849.5451,43306.8497,45484.6439
849.5451,43306.8497,45586.5894
849.5451,43306.8497,46317.1981
849.5451,43306.8497,46189.7664
867.8803,44306.8497,47334.1890
867.8803,44306.8497,47125.8978
867.8803,44306.8497,47716.0563
867.8803,44306.8497,48054.5296
867.8803,44306.8497,47577.1955
886.1819,45306.8497,48420.9771
886.1819,45306.8497,49112.1989
886.1819,45306.8497,49218.5407
886.1819,45306.8497,49493.2571
886.1819,45306.8497,49945.2099
903.9124,46306.8497,50980.6571
903.9124,46306.8497,51089.1266
903.9124,46306.8497,51242.7917
903.9124,46306.8497,51703.7870
903.9124,46306.8497,51504.9263
921.3279,47306.8497,52902.6477
921.3279,47306.8497,52875.0079
921.3279,47306.8497,53381.7383
921.3279,47306.8497,52773.6618
921.3279,47306.8497,53492.2976
921.3279,47306.8497,53372.5250
921.3279,47306.8497,53363.3117
921.3279,47306.8497,53289.6055
921.3279,47306.8497,53731.8429
938.5604,48306.8497,54464.6578
938.5604,48306.8497,54896.3955
938.5604,48306.8497,55440.7605
938.5604,48306.8497,55356.2901
938.5604,48306.8497,55515.8454
955.4665,49306.8497,56515.8454
955.4665,49306.8497,55417.0589
955.4665,49306.8497,55675.0348
955.4665,49306.8497,56171.8774
955.4665,49306.8497,56534.9547
972.3299,50306.8497,57659.1653
972.3299,50306.8497,58018.9274
972.3299,50306.8497,58835.6846
972.3299,50306.8497,59156.5535
972.3299,50306.8497,59244.0631
988.7530,51306.8497,60205.1699
988.7530,51306.8497,60215.0575
988.7530,51306.8497,60650.1088
988.7530,51306.8497,60284.2702
988.7530,51306.8497,60590.7836
1004.9894,52306.8497,61897.2970
1004.9894,52306.8497,62600.7896
1004.9894,52306.8497,62681.1888
1004.9894,52306.8497,62088.2450
1004.9894,52306.8497,62429.9414
1021.2047,53306.8497,62977.6962
1021.2047,53306.8497,63753.8118
1021.2047,53306.8497,63202.3612
1021.2047,53306.8497,62691.7589
1037.5660,54306.8497,63416.0336
1037.5660,54306.8497,63696.1764
1037.5660,54306.8497,63250.0230
1037.5660,54306.8497,63135.8908
1037.5660,54306.8497,63509.4145
1054.0161,55306.8497,64073.6368
1054.0161,55306.8497,63314.7452
1054.0161,55306.8497,64136.8778
1054.0161,55306.8497,63926.0746
1054.0161,55306.8497,63789.0525
1070.8341,56306.8497,63671.7954
1070.8341,56306.8497,63575.4204
1070.8341,56306.8497,64656.9628
1070.8341,56306.8497,65021.0464
1070.8341,56306.8497,65684.9635
1087.1553,57306.8497,66610.0052
1087.1553,57306.8497,66262.1155
1087.1553,57306.8497,66109.9137
1087.1553,57306.8497,66664.3629
1087.1553,57306.8497,65316.2904
1104.1708,58306.8497,64892.1169
1104.1708,58306.8497,64936.2837
1104.1708,58306.8497,64351.0732
1104.1708,58306.8497,65201.2847
1104.1708,58306.8497,64549.8240
1121.3677,59306.8497,65207.5310
1121.3677,59306.8497,65330.8815
1121.3677,59306.8497,65162.6763
1121.3677,59306.8497,64523.4967
1121.3677,59306.8497,63334.8470
1139.3275,60306.8497,63437.7528
1139.3275,60306.8497,65272.0700
1139.3275,60306.8497,64463.1476
1139.3275,60306.8497,65226.4969
1139.3275,60306.8497,64770.7660
1139.3275,60306.8497,65226.4969
1139.3275,60306.8497,64850.5189
1139.3275,60306.8497,64816.3391
1139.3275,60306.8497,63449.1461
1157.3910,61306.8497,64073.1681
1157.3910,61306.8497,64165.7593
1157.3910,61306.8497,65137.9678
1157.3910,61306.8497,66827.7587
1157.3910,61306.8497,65762.9590
1174.6652,62306.8497,68001.3674
1174.6652,62306.8497,66662.2491
1174.6652,62306.8497,66967.6620
1174.6652,62306.8497,66685.7424
1174.6652,62306.8497,67132.1152
1192.0686,63306.8497,68496.2614
1192.0686,63306.8497,69771.7748
1192.0686,63306.8497,70296.2849
1192.0686,63306.8497,70141.3160
1192.0686,63306.8497,68675.0716
1209.4448,64306.8497,69603.5475
1209.4448,64306.8497,69059.2974
1209.4448,64306.8497,69530.9808
1209.4448,64306.8497,69156.0530
1209.4448,64306.8497,70232.4588
1226.4371,65306.8497,72175.8258
1226.4371,65306.8497,72335.2626
1226.4371,65306.8497,72825.8374
1226.4371,65306.8497,72605.0788
1243.4816,66306.8497,72955.0671
1243.4816,66306.8497,73290.8071
1243.4816,66306.8497,72084.6299
1243.4816,66306.8497,71214.1928
1243.4816,66306.8497,71301.2365
1260.7438,67306.8497,73034.8907
1260.7438,67306.8497,73450.9361
1260.7438,67306.8497,73224.0022
1260.7438,67306.8497,74875.5767
1260.7438,67306.8497,75152.9403
1278.0749,68306.8497,73744.9196
1278.0749,68306.8497,74422.2993
1278.0749,68306.8497,73131.4436
1278.0749,68306.8497,74268.9303
1278.0749,68306.8497,74729.0372
1294.8618,69306.8497,77134.9196
1294.8618,69306.8497,76992.4848
1294.8618,69306.8497,77406.8406
1294.8618,69306.8497,76047.2356
1294.8618,69306.8497,77588.1212
1311.4181,70306.8497,79209.6549
1311.4181,70306.8497,79734.2222
1311.4181,70306.8497,79852.2498
1311.4181,70306.8497,80009.6200
1311.4181,70306.8497,79983.3916
1327.7527,71306.8497,81285.0178
1327.7527,71306.8497,81816.1188
1327.7527,71306.8497,81484.1807
1327.7527,71306.8497,82055.1143
1327.7527,71306.8497,82904.8760
1343.7450,72306.8497,84024.3737
1343.7450,72306.8497,84440.9347
1343.7450,72306.8497,83701.8750
1343.7450,72306.8497,83849.6869
1343.7450,72306.8497,83339.0638
1359.6635,73306.8497,85414.0598
1359.6635,73306.8497,85114.9338
1359.6635,73306.8497,85182.9170
1359.6635,73306.8497,84815.8079
1359.6635,73306.8497,84938.1776
1359.6635,73306.8497,84720.6314
1359.6635,73306.8497,84761.4213
1359.6635,73306.8497,85237.3035
1359.6635,73306.8497,86393.0175
1375.4289,74306.8497,87243.4545
1375.4289,74306.8497,86363.1800
1375.4289,74306.8497,86528.2315
1375.4289,74306.8497,86541.9858
1375.4289,74306.8497,87944.9232
1390.9762,75306.8497,89467.5862
1390.9762,75306.8497,89231.1203
1390.9762,75306.8497,89523.2253
1390.9762,75306.8497,89258.9398
1390.9762,75306.8497,90051.7962
1406.6232,76306.8497,89897.2860
1406.6232,76306.8497,90347.4054
1406.6232,76306.8497,88729.7888
1406.6232,76306.8497,88335.9343
1406.6232,76306.8497,89039.2459
1422.4234,77306.8497,90025.1796
1422.4234,77306.8497,89854.4888
1422.4234,77306.8497,89968.2827
1422.4234,77306.8497,90437.6824
1422.4234,77306.8497,91077.7730
1438.2965,78306.8497,90612.6768
1438.2965,78306.8497,90066.1242
1438.2965,78306.8497,88843.5722
1438.2965,78306.8497,89073.6996
1438.2965,78306.8497,88124.4240
1454.5619,79306.8497,89426.4662
1454.5619,79306.8497,89877.3804
1454.5619,79306.8497,90546.4789
